Gene	SRR1554535	SRR1554536	SRR1554537	SRR1554538	SRR1554539	SRR1554541
BRDT	21	9	4	9	10	12
BRE	1517	293	777	1127	1466	1350
BRF1	1678	268	4073	4041	1722	4315
BRF2	622	106	936	1035	559	1028
BRI3	719	348	835	1092	454	1035
BRI3BP	148	26	247	387	442	494
BRICD5	251	185	421	485	201	336
BRINP1	4265	743	4768	2050	5804	6216
BRINP2	2749	832	453	1961	3333	1584
BRINP3	987	433	849	1218	1343	1635
BRIP1	23	5	675	799	19	142
BRIX1	901	201	1624	1892	728	1903
BRK1	2723	909	4258	5501	3461	6407
BRMS1	601	224	1254	1596	410	1207
BRMS1L	776	144	1052	1141	1148	1417
BROX	636	109	1429	2171	975	2001
BRPF1	826	199	3638	3663	844	2956
BRPF3	1495	264	5421	6630	2781	5363
BRS3	0	0	2	3	2	4
BRSK1	18222	2732	14312	14982	16399	16117
BRSK2	5302	672	8981	9116	5732	6902
BRWD1	1387	244	6026	8238	2174	7279
BRWD3	107	76	3088	4875	391	3263
BSCL2	16139	2221	6808	6928	14663	8562
BSDC1	2900	586	5792	6079	3074	5162
BSG	16870	7033	8694	10578	15157	10393
BSN	4270	207	7547	11291	17019	11310
BSND	4	0	2	0	5	0
BSPH1	0	0	0	0	2	0
BSPRY	49	30	0	0	82	0
BST1	27	7	15	52	31	84
BST2	323	889	59	58	361	58
BSX	0	0	0	0	0	0
BTAF1	1214	308	7526	8215	1978	7179
BTBD1	2565	544	4603	4264	3991	6952
BTBD10	3167	215	3989	5371	4188	5923
BTBD11	322	38	7	25	539	13
BTBD16	50	2	2	0	14	6
BTBD17	147	88	382	262	51	48
BTBD18	19	10	36	47	31	56
BTBD19	45	26	76	54	108	48
BTBD2	8606	1633	8939	9183	6617	8498
BTBD3	1734	199	1109	1580	4475	1282
BTBD6	3868	771	3921	3543	3191	4211
BTBD7	242	97	2145	3122	437	2198
BTBD8	41	10	307	349	98	402
BTBD9	541	78	1223	1802	1506	2122
BTC	18	2	10	0	35	0
BTD	386	137	717	719	336	818
BTF3	4410	1661	13337	16559	3193	13393
BTF3L4	148	46	621	778	238	897
BTG1	376	195	1838	2407	274	1081
BTG2	169	311	283	431	216	210
BTG3	334	124	979	1499	215	458
BTG4	3	3	0	0	8	1
BTK	24	4	23	54	17	30
BTLA	0	1	1	6	2	3
BTN1A1	4	3	8	7	0	17
BTN2A1	769	135	1901	2600	862	1990
BTN2A2	69	60	151	277	66	63
BTN3A1	260	137	558	1532	151	1124
BTN3A2	71	37	42	99	72	95
BTN3A3	331	82	67	106	340	51
BTNL10	1	0	5	4	0	3
BTNL2	8	5	296	4	34	183
BTNL3	1	0	0	0	0	0
BTNL8	5	2	2	4	1	2
BTNL9	271	28	93	249	181	262
BTRC	902	130	2360	3227	2450	3997
BUB1	29	1	1729	2169	20	243
BUB1B	18	3	1795	2088	26	232
BUB1B-PAK6	0	0	0	0	0	0
BUB3	1280	347	4811	5421	1367	3545
BUD13	519	123	1790	1927	433	1445
BUD31	1213	457	1741	2072	1043	2123
BVES	61	23	45	161	44	43
BYSL	360	84	1322	1391	454	1321
BZW1	789	296	3318	4579	1266	4655
BZW2	1058	106	6907	8059	1350	9412
C10orf10	161	96	119	73	129	82
C10orf105	11	2	8	16	3	9
C10orf107	114	6	12	50	91	152
C10orf11	16	11	2	8	16	8
C10orf111	29	0	40	19	33	34
C10orf113	0	1	0	0	0	0
C10orf12	79	18	883	1405	156	1103
C10orf120	0	0	0	0	0	0
C10orf126	0	0	1	0	0	0
C10orf128	157	52	7	18	54	26
C10orf131	3	0	7	8	5	17
C10orf142	31	14	7	6	23	2
C10orf2	227	52	1301	1272	191	1078
C10orf25	10	5	65	111	11	111
C10orf35	536	76	863	1043	682	1262
C10orf53	1	0	0	0	0	2
C10orf54	655	478	146	197	257	147
C10orf55	0	0	1	2	0	0
C10orf62	0	4	0	2	1	0
C10orf67	23	3	6	15	32	5
C10orf71	0	0	0	4	0	0
C10orf76	651	146	1855	2492	730	2278
C10orf82	39	1	310	163	45	456
C10orf88	473	55	1263	1540	667	1520
C10orf90	402	55	4	0	218	6
C10orf91	1	0	0	0	0	1
C10orf95	43	2	42	39	52	15
C10orf99	0	0	0	0	2	0
C11orf1	317	188	204	272	266	303
C11orf16	4	0	18	3	2	5
C11orf21	2	2	0	1	7	2
C11orf24	1009	160	934	1034	658	1128
C11orf31	1372	478	1279	1665	1276	1465
C11orf40	1	0	0	0	0	0
C11orf42	7	5	170	276	42	201
C11orf44	0	0	0	0	0	0
C11orf45	4	0	2	5	2	1
C11orf49	2949	915	3460	4112	2765	4935
C11orf52	10	2	0	0	1	1
C11orf53	0	1	8	3	0	7
C11orf54	500	140	875	1692	449	1025
C11orf57	575	188	1896	2774	642	3014
C11orf58	3350	791	6935	8976	3824	8262
C11orf63	125	21	302	1500	333	1901
C11orf65	22	23	18	36	17	27
C11orf68	2505	412	1760	1852	1956	1928
C11orf70	16	12	105	126	19	37
C11orf71	205	34	269	252	165	320
C11orf73	811	288	1500	1627	740	1986
C11orf74	678	172	772	985	632	1029
C11orf80	626	179	2391	3051	594	2847
C11orf84	957	186	1867	2739	785	1919
C11orf86	0	0	0	0	0	0
C11orf87	604	9	1103	872	2150	923
C11orf88	8	1	1	1	4	2
C11orf91	2	4	4	4	14	0
C11orf94	0	4	29	30	3	16
C11orf95	304	61	4999	4586	451	4539
C11orf96	134	213	224	173	145	172
C11orf97	30	12	0	3	30	2
C11orf98	166	122	188	285	124	304
C12orf10	1442	555	2612	2901	1836	2507
C12orf29	839	179	840	1046	1245	927
C12orf4	530	83	1437	1748	1007	2541
C12orf40	0	12	0	0	0	0
C12orf42	8	2	17	14	18	10
C12orf43	448	65	589	606	541	643
C12orf45	165	78	509	459	135	414
C12orf49	402	100	836	844	556	840
C12orf50	1	0	5	6	6	2
C12orf54	12	1	2	2	8	2
C12orf56	1	0	5	9	1	4
C12orf57	1751	1665	7335	7149	1728	5591
C12orf60	36	20	33	43	34	44
C12orf65	540	78	1009	1176	544	1243
C12orf66	164	22	173	197	234	201
C12orf71	5	0	13	11	7	24
C12orf73	224	59	493	689	216	686
C12orf74	0	0	0	0	0	0
C12orf75	51	20	364	336	42	321
C12orf76	445	54	393	388	377	507
C12orf77	0	0	0	0	0	0
C12orf80	0	0	0	0	2	0
C14orf1	873	262	1142	1394	708	1831
C14orf105	0	0	0	0	0	0
C14orf119	611	171	586	939	547	762
C14orf132	103	75	1070	837	489	284
C14orf142	187	56	222	268	145	256
C14orf159	2461	1162	976	1466	1782	1340
C14orf166	1933	682	3554	4222	1673	3909
C14orf169	448	64	1397	1675	448	1534
C14orf177	0	0	0	0	0	0
C14orf178	3	0	26	16	3	8
C14orf180	6	0	1	4	10	3
C14orf2	2596	973	1909	2607	2474	2719
C14orf28	185	60	199	255	188	356
C14orf37	239	101	3837	3111	422	4321
C14orf39	2	0	3	2	3	4
C14orf79	475	91	509	623	577	841
C14orf80	578	227	527	511	400	388
C14orf93	184	100	526	578	110	419
C15orf32	0	0	2	6	0	3
C15orf38-AP3S2	0	0	0	0	0	0
C15orf39	250	205	342	228	178	163
C15orf40	403	114	777	1059	281	833
C15orf41	60	12	528	660	76	371
C15orf48	1	0	9	4	0	2
C15orf52	119	94	89	172	98	103
C15orf53	0	0	0	0	0	2
C15orf54	0	0	0	0	1	0
C15orf56	2	1	0	0	8	1
C15orf57	204	47	578	730	187	1060
C15orf59	2929	1406	1840	1997	1925	1990
C15orf61	468	100	602	433	404	456
C15orf62	50	5	161	214	51	165
C15orf65	48	15	57	67	48	97
C16orf13	1824	755	1667	1705	1715	1526
C16orf45	5830	372	6179	6537	5956	8094
C16orf46	190	31	233	347	266	322
C16orf47	3	7	0	4	10	5
C16orf52	110	27	407	570	390	558
C16orf54	4	5	0	0	7	0
C16orf58	2283	332	3095	3344	2019	2711
C16orf59	118	39	457	476	135	301
C16orf62	3372	813	3301	3987	2980	3982
C16orf70	860	47	1297	1463	951	1223
C16orf71	62	14	114	158	62	141
C16orf72	435	111	2266	2897	760	2556
C16orf74	17	33	26	20	5	6
C16orf78	0	0	0	0	0	2
C16orf82	0	0	1	0	0	0
C16orf86	173	71	132	153	145	161
C16orf87	179	34	911	976	243	1237
C16orf89	462	746	23	136	213	264
C16orf90	0	0	2	2	2	0
C16orf91	239	45	324	292	231	291
C16orf92	0	0	4	12	0	1
C16orf95	58	49	61	60	97	59
C16orf96	73	18	18	56	42	63
C16orf97	0	0	0	0	0	0
C17orf100	43	9	223	214	80	181
C17orf102	10	0	0	1	24	3
C17orf105	1	1	0	1	3	3
C17orf107	71	1	101	52	107	82
C17orf112	0	0	0	0	0	0
C17orf47	2	1	7	4	0	6
C17orf49	1216	568	2800	2773	803	2388
C17orf50	5	5	30	31	9	20
C17orf51	209	20	652	711	510	539
C17orf53	30	9	271	317	30	144
C17orf58	143	53	536	676	174	845
C17orf62	570	143	1623	1769	494	1334
C17orf64	0	0	1	1	2	0
C17orf67	22	8	41	78	19	54
C17orf74	0	2	0	2	8	4
C17orf75	1079	121	1275	1940	967	1764
C17orf77	0	0	0	0	0	0
C17orf78	1	0	10	25	0	32
C17orf80	485	156	2348	2958	683	2219
C17orf82	2	4	2	0	0	0
C17orf89	157	103	87	75	159	83
C17orf96	287	11	34	20	435	25
C17orf97	602	69	359	448	544	254
C17orf98	0	0	2	0	2	2
C17orf99	0	0	0	0	0	1
C18orf12	0	0	0	0	0	0
C18orf21	511	124	788	871	436	873
C18orf25	170	42	1095	1154	425	861
C18orf32	696	309	619	795	421	1115
C18orf54	23	4	419	862	53	439
C18orf63	0	0	0	0	2	0
C18orf65	8	6	0	4	8	0
C18orf8	1364	218	2076	2463	962	2409
C19orf12	293	72	730	975	477	902
C19orf18	65	15	24	47	9	25
C19orf24	350	78	243	206	247	205
C19orf25	377	153	544	406	315	447
C19orf33	2	43	16	8	10	16
C19orf35	6	8	2	5	4	3
C19orf38	12	5	12	25	2	13
C19orf43	2081	813	7210	6389	2099	4442
C19orf44	129	45	615	988	201	857
C19orf45	50	6	49	18	23	40
C19orf47	483	182	1102	1189	401	959
C19orf48	117	56	546	530	83	336
C19orf52	269	70	541	476	259	372
C19orf53	1771	684	1434	1671	1304	1304
C19orf54	259	105	424	443	81	286
C19orf57	160	39	1559	2001	140	1659
C19orf60	1829	587	2139	1697	1405	1468
C19orf66	1216	266	376	279	1079	302
C19orf67	3	2	9	6	2	9
C19orf68	1103	379	1820	1983	1169	2295
C19orf70	1781	782	1015	988	1487	1006
C19orf71	220	47	785	658	171	576
C19orf73	47	13	44	52	32	45
C19orf81	31	18	24	18	28	16
C19orf84	0	1	0	0	0	0
C1D	210	57	230	221	275	292
C1GALT1	768	138	834	987	673	1196
C1GALT1C1	443	171	513	702	424	735
C1GALT1C1L	47	14	10	16	26	25
C1QA	195	26	90	184	106	124
C1QB	287	19	117	173	147	51
C1QBP	2992	544	3385	3464	2308	4836
C1QC	282	19	191	343	122	151
C1QL1	793	308	420	247	526	141
C1QL2	391	273	43	164	545	5
C1QL3	812	2	51	659	1787	975
C1QL4	8	0	2	0	1	4
C1QTNF1	189	289	45	36	244	42
C1QTNF2	74	35	195	81	77	107
C1QTNF3	216	90	294	567	113	440
C1QTNF4	2056	335	3453	1407	2482	1963
C1QTNF5	160	136	113	127	79	84
C1QTNF6	61	18	379	162	59	190
C1QTNF7	7	25	10	18	19	25
C1QTNF8	7	2	5	4	5	2
C1QTNF9	0	0	3	5	0	0
C1QTNF9B	6	0	0	9	1	11
C1QTNF9B-AS1	0	0	0	0	0	0
C1R	429	308	138	254	323	214
C1RL	186	25	259	455	225	184
C1S	859	384	553	591	666	1004
C1orf100	4	2	4	6	2	7
C1orf101	62	9	19	31	64	56
C1orf105	2	0	3	0	0	0
C1orf106	29	46	106	93	23	57
C1orf109	248	33	586	696	279	563
C1orf111	8	4	339	749	14	125
C1orf112	145	30	938	1311	174	754
C1orf115	550	33	1175	633	1331	415
C1orf116	3	4	1	0	12	0
C1orf122	952	665	334	416	630	311
C1orf123	1107	450	1535	1691	987	1593
C1orf127	6	0	2	0	6	0
C1orf131	256	77	686	910	194	820
C1orf137	0	0	0	0	0	0
C1orf141	8	0	2	1	7	3
C1orf146	30	7	30	13	26	29
C1orf158	0	1	0	0	0	1
C1orf159	362	81	716	598	263	518
C1orf162	80	18	102	101	63	83
C1orf167	305	81	623	823	412	759
C1orf168	16	0	1	21	20	1
C1orf174	497	82	1495	1313	429	1099
C1orf185	0	0	0	0	4	0
C1orf186	0	0	0	0	0	0
C1orf189	0	0	5	0	0	2
C1orf194	200	61	147	230	73	176
C1orf195	2	0	0	1	0	0
C1orf198	1104	455	1961	2075	695	1651
C1orf204	94	14	228	292	109	508
C1orf21	635	252	1154	1697	770	2145
C1orf210	2	0	0	0	0	0
C1orf216	1239	67	2457	2155	2179	3145
C1orf226	67	10	572	917	38	188
C1orf228	147	111	169	391	147	391
C1orf229	0	2	14	26	0	17
C1orf233	187	15	16	45	133	68
C1orf234	4	0	6	4	4	5
C1orf27	273	127	703	1002	285	817
C1orf35	490	167	1225	1130	414	766
C1orf43	4401	1305	3972	4606	4189	4829
C1orf50	323	113	715	877	326	1047
C1orf52	932	164	1365	1689	1017	1963
C1orf53	45	25	31	6	33	19
C1orf54	198	336	124	216	99	218
C1orf56	102	56	435	378	100	378
C1orf61	6570	11330	11755	16030	3551	8885
C1orf64	87	286	77	132	111	73
C1orf68	0	0	0	0	0	2
C1orf74	73	9	77	88	90	118
C1orf87	0	2	2	2	2	0
C1orf94	11	0	44	56	4	36
C2	99	17	80	148	92	91
C20orf141	0	0	0	0	0	0
C20orf144	3	0	12	10	5	8
C20orf173	0	0	6	2	4	6
C20orf194	1553	585	4998	7251	2513	6533
C20orf195	2	2	69	191	2	157
C20orf196	144	42	190	273	117	233
C20orf197	0	0	1	2	4	2
C20orf202	3	0	10	6	5	7
C20orf203	6	1	64	43	5	52
C20orf24	570	197	480	541	463	594
C20orf27	801	302	1233	1385	752	1989
C20orf78	0	0	0	0	0	1
C20orf85	0	0	0	0	0	0
C20orf96	453	204	1041	3016	449	3871
C21orf140	0	0	0	0	0	0
C21orf2	1629	454	792	850	1449	726
C21orf33	180	1	159	281	178	119
C21orf58	81	21	530	502	53	96
C21orf59	1674	462	2140	2618	1419	2237
C21orf62	10	9	23	22	5	22
C21orf91	201	40	426	457	199	186
C22orf15	7	0	7	20	5	15
C22orf23	239	52	1149	1266	93	1557
C22orf24	31	0	97	57	31	45
C22orf29	202	20	614	744	361	578
C22orf31	20	11	36	17	14	36
C22orf34	0	0	0	0	0	0
C22orf39	359	97	623	544	297	529
C22orf42	0	0	0	0	0	1
C22orf46	468	213	344	347	367	314
C2CD2	216	106	258	328	440	366
C2CD2L	3180	247	1374	2159	3611	2548
C2CD3	954	241	3869	5527	1393	4372
C2CD4A	2	1	31	0	12	6
C2CD4B	8	20	33	21	13	10
C2CD4C	822	204	676	916	940	1166
C2CD4D	64	1	14	5	99	3
C2CD5	1123	268	6894	10002	3479	7492
C2orf15	54	8	39	40	82	81
C2orf16	83	29	294	516	141	677
C2orf27A	9	5	25	21	16	42
C2orf27B	0	0	3	0	0	1
C2orf40	64	53	132	141	95	158
C2orf42	499	94	661	815	480	580
C2orf47	441	109	480	649	474	629
C2orf48	0	0	47	57	5	5
C2orf49	248	111	1017	1431	474	1073
C2orf50	13	4	35	18	35	8
C2orf54	3	0	0	0	2	0
C2orf57	3	0	0	0	0	0
C2orf61	1	3	5	11	2	19
C2orf66	6	2	16	28	3	6
C2orf68	168	54	1466	1650	108	1006
C2orf69	382	67	1182	1350	865	1683
C2orf70	4	4	24	64	6	9
C2orf71	6	2	0	4	12	2
C2orf72	664	309	363	702	488	381
C2orf73	14	9	2	6	15	6
C2orf74	1617	311	439	589	1126	354
C2orf76	264	106	216	347	180	393
C2orf78	0	0	0	0	0	0
C2orf80	1292	150	753	663	1695	1685
C2orf81	314	80	333	306	214	261
C2orf82	427	280	38	20	143	21
C2orf83	0	2	13	7	2	27
C2orf88	92	5	20	94	56	34
C2orf91	0	0	0	2	0	0
C3	1487	54	1447	1716	336	293
C3AR1	61	7	33	81	40	46
C3orf14	1058	194	1450	1932	1129	2298
C3orf18	828	305	1063	1073	886	1155
C3orf20	4	0	13	1	23	13
C3orf22	0	0	1	7	0	4
C3orf30	0	0	2	0	0	0
C3orf33	329	57	271	369	327	587
C3orf35	9	6	19	3	3	7
C3orf36	6	0	0	3	3	2
C3orf38	336	79	919	1411	396	1167
C3orf52	6	2	4	6	8	6
C3orf56	0	0	0	0	0	0
C3orf58	447	65	417	517	615	408
C3orf62	239	61	536	648	158	742
C3orf67	46	0	139	159	85	156
C3orf70	114	85	908	1119	202	879
C3orf79	2	0	0	0	0	3
C3orf80	297	3	102	45	523	82
C3orf84	0	0	0	0	0	1
C4A	65	32	56	31	44	69
C4B	58	54	18	75	41	59
C4BPA	6	0	4	3	12	4
C4BPB	2	0	2	1	0	2
C4orf17	0	0	0	0	0	0
C4orf19	33	74	15	38	49	17
C4orf22	13	0	0	5	11	0
C4orf26	8	0	3	11	11	8
C4orf3	1807	941	1735	2691	1792	3192
C4orf32	62	9	633	275	53	411
C4orf33	250	68	212	419	275	481
C4orf36	22	4	59	50	26	71
C4orf45	14	1	3	4	3	5
C4orf46	16	13	352	365	35	185
C4orf47	53	22	139	176	27	161
C4orf48	480	111	452	480	408	580
C4orf50	165	11	419	616	783	1097
C4orf51	0	0	0	0	0	0
C5	256	157	596	873	237	418
C5AR1	23	1	23	45	30	41
C5AR2	16	1	0	11	18	2
C5orf15	514	131	1340	1908	605	1575
C5orf22	440	53	903	1197	725	1289
C5orf24	323	82	2303	2611	767	3053
C5orf30	590	60	1300	1471	982	1356
C5orf34	124	12	287	263	145	148
C5orf38	6	0	0	0	0	1
C5orf42	1271	269	5175	9501	2666	10501
C5orf45	990	275	1921	2515	574	1694
C5orf46	0	0	0	0	0	0
C5orf47	1	0	2	3	7	1
C5orf49	167	47	159	291	101	373
C5orf51	177	11	734	1357	267	1300
C5orf52	1	0	2	12	6	5
C5orf58	4	0	0	0	2	0
C5orf60	2	0	2	1	3	4
C5orf63	40	21	176	334	51	245
C5orf64	32	4	2	6	16	11
C5orf66	11	1	31	47	10	34
C5orf67	3	0	0	0	0	0
C6	2	0	0	5	0	11
C6orf1	1491	791	641	692	1140	1042
C6orf10	2	0	76	2	0	95
C6orf106	1711	233	1030	1363	3177	1172
C6orf118	15	10	233	195	16	226
C6orf120	229	60	446	401	443	420
C6orf132	0	0	0	6	1	2
C6orf136	2231	415	1160	1255	1586	1170
C6orf141	32	0	8	55	74	34
C6orf15	0	0	0	0	0	0
C6orf163	25	10	85	113	33	83
C6orf201	5	4	21	51	15	22
C6orf203	832	216	892	1251	587	1330
C6orf222	0	0	0	3	4	4
C6orf223	29	15	16	27	4	15
C6orf226	147	83	270	169	89	251
C6orf229	1	0	2	7	7	6
C6orf25	3	3	254	385	1	118
C6orf47	272	82	434	477	169	462
C6orf48	1300	552	2515	1838	716	2632
C6orf52	23	14	42	35	10	64
C6orf58	8	0	10	11	4	28
C6orf62	2737	845	4472	6047	2777	5066
C6orf89	485	260	1638	2010	1202	1894
C6orf99	13	0	22	25	9	25
C7	31	69	24	207	111	519
C7orf25	937	155	949	954	800	1081
C7orf26	1249	263	3277	3881	1196	3548
C7orf31	68	37	112	203	57	264
C7orf33	0	0	23	20	0	0
C7orf34	6	2	30	21	5	17
C7orf43	1582	210	2129	2241	1284	2357
C7orf49	178	58	283	390	164	232
C7orf50	2127	1172	2008	1907	1757	2059
C7orf55	22	19	14	18	15	20
C7orf55-LUC7L2	0	0	0	0	0	0
C7orf57	8	3	1	2	11	2
C7orf61	75	37	38	24	21	10
C7orf62	0	2	0	6	0	8
C7orf65	0	0	0	0	0	0
C7orf66	0	0	0	0	0	0
C7orf69	0	0	0	0	0	0
C7orf71	2	0	0	0	0	1
C7orf72	0	0	3	0	3	1
C7orf73	198	141	852	1229	195	1071
C7orf76	0	0	4	14	0	4
C7orf77	1	0	0	0	0	3
C8A	0	0	0	0	0	1
C8B	0	0	1	2	0	2
C8G	27	14	8	23	18	10
C8orf22	0	1	0	0	0	0
C8orf31	26	14	37	188	23	63
C8orf33	585	393	1559	1764	698	1668
C8orf34	178	13	693	2091	295	4161
C8orf37	63	27	134	145	108	125
C8orf4	146	286	413	931	223	212
C8orf44	193	43	307	378	151	319
C8orf44-SGK3	0	0	0	0	0	0
C8orf46	1501	207	215	290	3071	344
C8orf48	55	14	144	226	30	390
C8orf58	82	78	434	626	56	464
C8orf59	725	241	896	1351	600	1552
C8orf74	0	0	0	0	0	0
C8orf76	106	55	168	197	88	183
C8orf82	306	95	617	629	156	650
C8orf86	5	0	1	0	5	6
C8orf87	0	0	0	2	0	0
C8orf88	1181	181	261	294	630	281
C8orf89	3	1	27	37	0	46
C9	0	0	0	1	0	1
C9orf106	2	0	5	1	9	3
C9orf114	654	245	1222	1529	565	1055
C9orf116	200	60	45	126	112	152
C9orf129	620	162	437	455	584	527
C9orf131	14	4	119	131	43	100
C9orf135	1	0	4	2	4	0
C9orf139	18	1	19	37	7	37
C9orf142	641	706	1942	1614	512	1357
C9orf152	0	0	5	5	0	4
C9orf153	0	2	1	1	0	0
C9orf16	2062	1214	1763	1715	2087	1518
C9orf163	8	0	10	4	18	10
C9orf170	5	0	2	1	6	1
C9orf172	2289	178	701	760	2480	1116
C9orf24	323	342	162	316	274	254
C9orf3	871	193	367	411	824	355
C9orf40	149	24	375	372	188	450
C9orf43	19	12	16	21	3	4
C9orf47	21	32	257	345	22	96
C9orf50	40	19	10	15	23	9
C9orf57	0	0	0	2	0	1
C9orf62	2	0	0	0	0	0
C9orf64	228	56	647	1036	182	792
C9orf66	0	3	2	3	2	0
C9orf69	308	57	238	233	363	324
C9orf72	654	79	1942	3376	1212	3355
C9orf78	2401	726	3882	4641	1795	4707
C9orf84	15	8	57	75	10	76
C9orf85	157	41	168	324	66	331
C9orf91	859	42	765	1019	1402	1589
C9orf92	0	1	0	1	0	0
CA1	0	1	1	0	2	0
CA10	1538	159	143	351	3028	1204
CA11	15661	6713	1734	885	13206	1646
CA12	16	19	891	1114	9	276
CA13	51	1	37	58	72	11
CA14	518	52	236	205	218	85
CA2	2491	824	190	348	1135	206
CA3	17	12	41	69	44	18
CA4	624	763	7	55	866	42
CA5A	11	14	4	1	8	10
CA5B	106	16	144	185	99	116
CA6	0	0	0	0	0	2
CA7	325	27	4	4	351	6
CA8	191	87	72	244	177	155
CA9	9	10	16	27	9	15
CAAP1	358	97	881	1068	292	819
CAB39	1672	255	3022	4122	3634	4965
CAB39L	934	200	959	1801	1707	1832
CABIN1	4511	854	7326	8854	4800	9414
CABLES1	1072	902	191	195	690	265
CABLES2	305	26	1288	1849	354	1078
CABP1	13960	1363	691	236	11865	431
CABP2	0	0	0	0	0	0
CABP4	8	3	0	5	5	0
CABP5	580	145	82	30	228	75
CABP7	77	0	221	150	29	105
CABS1	0	0	0	0	0	0
CABYR	528	49	1390	1668	697	2457
CACFD1	240	96	1681	1483	199	1207
CACHD1	790	410	2960	3482	725	2160
CACNA1A	4016	335	3543	11081	8435	10987
CACNA1B	2451	177	9263	10778	4810	14056
CACNA1C	673	204	4477	3193	2017	4709
CACNA1D	666	70	547	1742	1421	1960
CACNA1E	737	26	11557	15620	3306	17223
CACNA1F	179	27	7	16	126	10
CACNA1G	2307	358	9058	1928	4395	8455
CACNA1H	1089	279	10093	8707	1377	9941
CACNA1I	921	23	1236	2308	2312	4443
CACNA1S	53	34	23	34	92	17
CACNA2D1	599	38	5860	10598	3939	15902
CACNA2D2	1038	88	726	895	1159	1044
CACNA2D3	2474	70	993	1944	3348	1434
CACNA2D4	28	0	9	10	7	3
CACNB1	4424	407	3908	4790	5659	4612
CACNB2	1288	173	673	735	2526	942
CACNB3	3485	375	6434	7752	4292	8046
CACNB4	164	19	1082	935	1984	1357
CACNG1	6	0	32	20	2	19
CACNG2	468	24	388	447	853	721
CACNG3	4581	180	478	897	5122	1657
CACNG4	222	194	4356	3872	269	4671
CACNG5	12	8	6	31	44	13
CACNG6	5	6	5	2	15	4
CACNG7	5308	939	7594	7012	3792	7719
CACNG8	285	10	546	481	802	746
CACTIN	1081	203	2939	2669	1002	1935
CACUL1	156	28	736	920	497	933
CACYBP	3632	373	1977	3138	3195	3234
CAD	1158	377	3991	4256	1256	3343
CADM1	1151	559	3879	5201	1385	4629
CADM2	506	196	1818	1973	2441	5138
CADM3	8225	708	11450	14475	11138	18678
CADM4	8993	2952	18359	16760	5689	16312
CADPS	7106	149	7048	8331	11378	12881
CADPS2	3090	199	328	229	6031	554
CAGE1	0	0	0	3	0	0
CALB1	369	19	44	590	994	765
CALB2	533	146	395	1163	813	1834
CALCA	0	1	0	0	0	0
CALCB	6	0	1	0	6	0
CALCOCO1	4814	1005	11417	13936	5143	8335
CALCOCO2	1462	685	1115	1669	1051	1136
CALCR	0	1	0	1	8	0
CALCRL	101	52	61	134	195	214
CALD1	771	1854	2334	4256	1476	2208
CALHM1	66	6	0	1	94	0
CALHM2	279	134	256	272	248	180
CALHM3	1	4	7	2	1	2
CALM1	15586	2863	24438	23910	31478	44564
CALM2	43762	5509	24654	28137	37205	43457
CALM3	36521	3618	24905	25275	47640	40887
CALML3	9	1	0	3	17	10
CALML4	95	53	250	168	60	148
CALML5	0	0	0	0	0	0
CALML6	34	13	6	4	28	15
CALN1	87	14	971	1523	394	2706
CALR	8389	3095	17394	23601	6604	18479
CALR3	0	1	1	1	0	2
CALU	702	244	2040	2496	1130	2279
CALY	5401	581	887	743	3844	2080
CAMK1	2738	784	2796	3593	2826	3373
CAMK1D	945	138	1930	2803	2637	2851
CAMK1G	3041	90	107	351	3183	625
CAMK2A	20375	1623	496	283	44223	778
CAMK2B	8418	595	8343	4871	12805	8284
CAMK2D	1247	78	1046	2159	3049	2274
CAMK2G	6714	1601	6445	3934	8113	5398
CAMK2N1	6422	1712	2815	2979	9458	4194
CAMK2N2	336	61	29	146	310	313
CAMK4	397	87	4194	2071	1563	2543
CAMKK1	4194	144	1585	1588	5410	1547
CAMKK2	4327	342	5098	5375	10500	5897
CAMKMT	317	146	156	319	302	270
CAMKV	5468	178	32132	16255	7961	27089
CAMLG	2549	483	4303	4975	2054	5402
CAMP	4	0	2	0	0	0
CAMSAP1	2060	304	16505	21714	3804	21201
CAMSAP2	2718	607	13055	18150	9031	22439
CAMSAP3	1884	286	10629	9328	1949	9715
CAMTA1	1919	658	4563	5400	6237	8079
CAMTA2	10183	1013	4468	4502	13066	4792
CAND1	3689	736	17424	22217	6968	23480
CAND2	1427	182	2510	2118	1657	2410
CANT1	357	74	1319	1748	634	1106
CANX	9264	2423	17405	25678	10846	22648
CAP1	3414	1009	5257	6844	3751	7571
CAP2	6845	248	3870	4580	11618	6336
CAPG	247	573	565	828	217	74
CAPN1	4084	849	4965	6561	3539	7658
CAPN10	1155	395	2770	2982	918	2375
CAPN11	9	0	3	6	10	5
CAPN12	23	9	5	18	23	11
CAPN13	70	4	3	9	37	6
CAPN14	4	0	92	102	11	135
CAPN15	1023	316	2291	2370	994	1998
CAPN2	3446	1461	3514	4754	2057	3334
CAPN3	3035	231	184	229	1651	127
CAPN5	854	148	3003	2449	1305	3279
CAPN6	0	3	24	50	0	8
CAPN7	685	150	2269	3299	897	3187
CAPN8	9	6	0	0	3	1
CAPN9	58	20	25	11	35	10
CAPNS1	8476	1494	4726	5414	6580	6251
CAPNS2	0	0	0	1	0	0
CAPRIN1	4549	785	21499	25620	6517	25395
CAPRIN2	3251	434	8795	7072	3764	6876
CAPS	475	150	419	548	212	338
CAPS2	334	47	78	93	469	61
CAPSL	28	0	0	2	13	0
