Gene	SRR1554535	SRR1554536	SRR1554537	SRR1554538	SRR1554539	SRR1554541
SRSF2	1637	386	4778	4520	1790	2858
SRSF3	2137	931	11696	15678	2117	10243
SRSF4	3117	823	8702	10308	2842	7753
SRSF5	11329	2479	14314	16814	8372	13436
SRSF6	1475	460	6490	9049	1423	4304
SRSF7	2211	614	7603	9851	2330	7642
SRSF8	569	153	454	756	865	895
SRSF9	2817	804	5481	6470	2480	4981
SRXN1	201	42	122	136	336	129
SRY	0	0	0	0	0	2
SS18	436	284	1760	1611	535	1076
SS18L1	316	43	3678	3613	772	3297
SS18L2	439	100	545	682	364	750
SSB	4859	982	5112	7014	3511	7500
SSBP1	2151	551	2040	2788	1529	2621
SSBP2	1114	173	12449	8933	1081	15522
SSBP3	1527	146	4059	2330	1825	2747
SSBP4	2197	739	2877	2259	2193	2724
SSC4D	59	29	75	23	35	50
SSC5D	299	151	63	107	160	68
SSFA2	3617	1724	2485	5043	3574	3590
SSH1	338	60	1853	2350	822	1756
SSH2	260	74	3025	5000	923	4145
SSH3	768	223	225	349	613	549
SSMEM1	4	2	0	0	0	0
SSNA1	1339	423	1177	1291	1013	1216
SSPN	117	44	12	36	54	26
SSPO	926	458	584	285	553	267
SSR1	779	265	2327	3144	879	3275
SSR2	1816	577	7137	8189	1332	6043
SSR3	759	407	1514	2345	875	2344
SSR4	1437	769	2712	2871	1140	2369
SSRP1	4479	986	14257	18139	4001	15387
SSSCA1	810	180	1027	1000	839	1035
SST	1402	138	306	674	1719	990
SSTR1	291	34	37	94	834	693
SSTR2	596	83	3073	3510	1078	6512
SSTR3	196	6	0	2	300	7
SSTR4	15	0	0	9	25	2
SSTR5	2	4	44	4	8	0
SSU72	4687	945	3142	3505	3858	4164
SSUH2	19	3	33	24	26	23
SSX1	0	0	0	0	0	0
SSX2	0	0	0	0	0	0
SSX2B	0	0	0	0	0	0
SSX2IP	1983	286	5874	4816	4549	5402
SSX3	0	0	0	0	0	0
SSX4	0	0	0	0	0	0
SSX4B	0	0	0	0	0	0
SSX5	0	0	0	0	0	0
SSX7	0	0	0	0	0	0
ST13	1719	636	3523	4742	1698	3650
ST14	32	4	5	21	36	10
ST18	698	102	1251	2294	672	1706
ST20	42	13	71	62	17	117
ST20-MTHFS	0	0	0	0	0	0
ST3GAL1	101	24	1730	1080	288	1908
ST3GAL2	579	118	1734	1350	685	1594
ST3GAL3	1355	313	1565	1656	1261	2207
ST3GAL4	972	307	1245	774	656	845
ST3GAL5	2126	337	1091	1513	2337	2125
ST3GAL6	477	102	889	897	596	822
ST5	1472	791	907	1374	1147	996
ST6GAL1	293	97	2110	2608	482	2751
ST6GAL2	90	13	3331	2325	342	2926
ST6GALNAC1	152	75	49	91	141	95
ST6GALNAC2	22	8	18	31	22	30
ST6GALNAC3	130	41	335	458	89	708
ST6GALNAC4	353	194	576	407	371	603
ST6GALNAC5	709	30	330	1191	1258	1422
ST6GALNAC6	5744	2139	2131	2368	5216	2733
ST7	786	325	2886	3615	697	3249
ST7L	358	83	792	1249	295	1069
ST8SIA1	350	102	1250	1253	455	481
ST8SIA2	6	2	5472	5802	22	6497
ST8SIA3	311	17	50	472	1378	837
ST8SIA4	46	21	472	1534	122	1562
ST8SIA5	451	26	215	747	1026	409
ST8SIA6	55	52	51	107	58	166
STAB1	353	54	1214	1683	568	1158
STAB2	17	9	30	40	21	11
STAC	6	20	81	179	10	375
STAC2	2585	114	756	61	2284	207
STAC3	85	27	302	362	79	277
STAG1	449	236	4714	6808	810	5162
STAG2	1492	768	7272	10076	2106	7978
STAG3	4174	1384	8728	10562	3702	10355
STAM	1384	110	2310	3023	1741	3098
STAM2	373	129	1765	2285	681	2401
STAMBP	1618	388	1763	2178	1086	1920
STAMBPL1	979	75	335	247	1274	318
STAP1	2	4	0	0	3	7
STAP2	129	48	150	229	95	180
STAR	190	3	3	20	255	40
STARD10	984	297	806	1018	707	980
STARD13	603	141	1270	617	1218	751
STARD3	1896	510	3589	4000	1545	3318
STARD3NL	1344	283	2090	3136	1174	3372
STARD4	262	75	636	630	726	907
STARD5	63	15	284	190	90	154
STARD6	2	1	4	2	6	2
STARD7	2015	656	5191	6258	3100	6424
STARD8	194	145	274	384	218	374
STARD9	1200	232	3519	5912	1584	2419
STAT1	1429	508	1575	1708	2860	1685
STAT2	2326	406	4472	5750	2184	4214
STAT3	1700	511	2194	2995	1742	1980
STAT4	1577	86	58	136	2054	52
STAT5A	155	60	30	59	109	47
STAT5B	1184	359	2150	3384	1534	1834
STAT6	1374	558	208	479	1887	418
STATH	0	0	0	0	0	0
STAU1	2523	436	6921	8204	2936	8641
STAU2	3467	332	5362	6294	5194	8165
STBD1	313	60	54	123	484	77
STC1	1	0	216	93	4	111
STC2	41	17	7	15	31	11
STEAP1	95	18	2	8	71	20
STEAP1B	29	14	8	18	45	63
STEAP2	617	57	19	74	1402	85
STEAP3	36	19	23	30	43	40
STEAP4	1	4	2	0	8	2
STH	7	0	25	85	23	63
STIL	112	14	1191	1163	129	735
STIM1	2682	533	1005	1536	3630	1758
STIM2	930	215	2897	2424	1486	2460
STIP1	5814	947	10715	15192	5073	13004
STK10	159	99	732	941	189	892
STK11	2514	865	3253	3012	1829	2511
STK11IP	1116	216	2195	2979	1029	2281
STK16	802	259	988	1122	743	1421
STK17A	478	225	987	2092	464	858
STK17B	106	72	142	256	50	58
STK19	502	170	1457	1575	474	1585
STK24	2196	480	2457	3359	3196	3329
STK25	5486	1042	7623	8885	5073	8988
STK26	9	9	28	55	42	5
STK3	330	119	150	276	438	135
STK31	34	10	94	132	26	69
STK32A	45	42	116	197	50	177
STK32B	64	28	1666	4874	73	6313
STK32C	2850	556	1679	1645	3171	2716
STK33	251	178	155	185	78	33
STK35	192	42	801	961	398	657
STK36	1096	227	3126	3766	1120	2513
STK38	254	151	1955	2859	285	1964
STK38L	381	167	785	1087	747	968
STK39	2442	262	1813	2681	3022	1745
STK4	282	71	1423	1604	663	1792
STK40	644	187	2287	2265	808	2169
STKLD1	155	46	177	264	124	167
STMN1	33718	2210	100981	137801	26877	170072
STMN2	11746	180	76840	117567	15908	190703
STMN3	8490	1213	6368	6950	8311	10127
STMN4	6002	617	15915	14961	5311	25696
STMND1	7	0	2	1	4	2
STOM	1288	1198	676	797	958	494
STOML1	2614	303	1828	1646	2228	2268
STOML2	1928	653	1886	2245	1712	1649
STOML3	0	2	5	9	0	12
STON1	3	1	18	37	2	4
STON1-GTF2A1L	0	0	0	1	0	0
STON2	225	375	497	445	190	74
STOX1	1666	1046	674	1269	759	238
STOX2	281	35	1988	3554	1563	2394
STPG1	521	35	206	58	694	384
STPG2	8	1	6	15	2	7
STPG3	28	12	14	14	10	7
STRA13	408	172	1165	1001	340	942
STRA6	13	22	178	273	5	313
STRA8	1	6	0	3	0	1
STRADA	1672	219	2874	3268	1377	3314
STRADB	424	114	665	885	299	1310
STRAP	4908	1094	5793	7051	4705	8355
STRBP	1980	175	6727	8105	3447	9431
STRC	131	7	56	81	105	83
STRIP1	2007	285	7312	8562	2528	9219
STRIP2	346	86	49	110	655	76
STRN	336	79	1415	1900	1186	2033
STRN3	732	164	2774	3315	1085	3558
STRN4	3660	642	10862	11169	4234	11026
STS	340	66	565	799	1922	985
STT3A	1803	529	5142	6447	1500	4828
STT3B	1817	451	9293	10324	2745	11842
STUB1	6442	2574	3995	4099	5316	4507
STUM	144	19	390	436	350	783
STX10	896	407	1874	2408	702	1636
STX11	12	10	6	15	16	16
STX12	1310	359	2890	3793	1831	4793
STX16	816	287	2224	2965	1314	1811
STX17	217	80	415	574	383	560
STX18	797	232	984	1144	540	1073
STX19	18	0	11	18	8	13
STX1A	7704	330	4521	5388	9136	7060
STX1B	3053	111	2361	2488	5379	3290
STX2	285	101	1981	2512	324	2167
STX3	361	43	1486	772	527	1595
STX4	1338	456	1360	1890	1180	1585
STX5	975	303	2037	2209	891	2168
STX6	671	87	2914	3145	923	3006
STX7	1547	320	5293	7084	2268	7940
STX8	996	394	705	1345	743	1150
STXBP1	22379	544	22519	23784	39847	31115
STXBP2	146	32	266	338	116	337
STXBP3	2275	766	1123	1705	1643	1414
STXBP4	48	20	291	591	34	443
STXBP5	877	86	3371	4028	3488	6702
STXBP5L	1007	31	770	560	3728	641
STXBP6	620	147	278	604	1082	274
STYK1	219	2	40	50	594	128
STYX	51	20	487	571	66	554
STYXL1	472	247	325	948	467	743
SUB1	2923	784	3763	5410	3847	6430
SUCLA2	3865	480	2325	2975	4752	3995
SUCLG1	3461	910	3440	4303	2280	4793
SUCLG2	420	349	169	346	220	117
SUCNR1	0	0	6	4	0	6
SUCO	687	284	4043	5911	1215	4503
SUDS3	271	25	1321	1368	509	1221
SUFU	170	56	989	1314	176	1046
SUGCT	85	60	27	21	18	14
SUGP1	1949	491	2813	3098	1578	2658
SUGP2	7248	1168	20144	25781	9517	24295
SUGT1	1009	316	1461	2454	839	2196
SULF1	416	88	159	2712	584	2441
SULF2	2451	942	760	6384	2385	4796
SULT1A1	699	245	498	261	796	525
SULT1A2	39	18	74	58	24	34
SULT1A3	0	0	0	1	1	0
SULT1A4	0	0	0	0	0	0
SULT1B1	2	7	4	16	11	30
SULT1C2	22	20	13	2	14	0
SULT1C3	0	0	0	0	0	0
SULT1C4	196	140	333	685	141	210
SULT1E1	0	0	78	200	0	304
SULT2A1	0	0	0	0	0	0
SULT2B1	2	22	5	4	2	1
SULT4A1	5688	121	3250	2909	8391	4157
SULT6B1	0	0	0	0	0	0
SUMF1	249	78	229	203	190	129
SUMF2	2398	472	2984	2324	1992	2672
SUMO1	589	105	678	801	666	854
SUMO2	428	85	876	894	423	786
SUMO3	1351	282	2062	2129	1784	2495
SUMO4	2	0	16	18	6	11
SUN1	2186	650	9683	10480	3327	9043
SUN2	8210	969	11485	11304	4709	7792
SUN3	15	1	0	0	9	3
SUN5	0	0	0	0	0	0
SUOX	1291	388	746	1073	875	956
SUPT16H	2943	450	10542	14250	4244	13510
SUPT20H	1138	388	5526	7014	1078	6109
SUPT20HL1	4	0	1	2	0	5
SUPT20HL2	0	0	0	0	0	2
SUPT3H	323	67	500	821	196	851
SUPT4H1	1038	420	1722	1992	1055	1878
SUPT5H	8403	1815	14728	18148	7705	16526
SUPT6H	5529	1297	9462	12154	5838	10288
SUPT7L	2385	357	3445	4046	2275	3208
SUPV3L1	1279	376	2207	2673	1301	2546
SURF1	1035	884	777	1009	767	984
SURF2	800	241	771	834	652	820
SURF4	1597	223	2108	2502	1490	2329
SURF6	1032	239	2636	2449	853	2296
SUSD1	465	50	880	1838	820	1657
SUSD2	41	143	62	60	64	28
SUSD3	35	0	12	15	9	7
SUSD4	1340	174	240	554	1804	762
SUSD5	254	147	35	105	499	302
SUSD6	205	49	457	637	393	584
SUV39H1	191	37	292	326	224	217
SUV39H2	118	34	1056	1522	186	1106
SUZ12	518	161	2564	3211	774	2602
SV2A	12301	370	10927	13809	16849	18178
SV2B	3336	17	700	1057	9946	2860
SV2C	38	1	25	58	291	103
SVBP	509	140	2860	2829	371	2541
SVEP1	220	35	159	1349	509	3723
SVIL	324	367	2607	5561	674	3853
SVIP	512	128	150	102	431	73
SVOP	2783	56	1685	2571	4675	3806
SVOPL	4	0	16	20	14	20
SWAP70	576	295	650	1041	636	813
SWI5	308	188	281	297	229	202
SWSAP1	47	27	50	52	41	51
SWT1	310	59	1376	2000	263	1884
SYAP1	1140	285	1278	1669	1264	1471
SYBU	4475	342	11808	9432	5869	17131
SYCE1	615	112	15	29	362	25
SYCE1L	63	45	146	199	84	184
SYCE2	81	37	150	194	49	125
SYCE3	19	4	0	3	1	1
SYCN	0	0	0	0	0	0
SYCP1	0	0	7	0	0	0
SYCP2	430	133	408	555	379	522
SYCP2L	196	31	332	502	131	551
SYCP3	94	60	160	247	40	219
SYDE1	259	291	318	424	136	176
SYDE2	66	19	19	157	161	242
SYF2	1461	681	2507	3436	1117	2739
SYK	18	4	58	42	1	21
SYMPK	4455	846	7448	7675	4208	6922
SYN1	18686	427	2829	3095	17201	5016
SYN2	5409	105	1204	1461	8592	2044
SYN3	268	18	1291	1941	672	3259
SYNC	344	123	1322	1667	429	1505
SYNCRIP	1362	531	7447	8927	1660	7049
SYNDIG1	1350	93	439	986	1463	1951
SYNDIG1L	53	20	5	30	62	32
SYNE1	9895	3962	13474	16370	19092	22048
SYNE2	868	662	22553	41787	1197	10156
SYNE3	86	26	40	133	116	88
SYNE4	49	9	37	44	29	16
SYNGAP1	4784	501	17851	16195	8044	24219
SYNGR1	2478	235	1970	1873	4387	2004
SYNGR2	774	209	229	340	427	288
SYNGR3	1967	83	1317	597	2102	1300
SYNGR4	6	0	2	2	7	1
SYNJ1	3579	140	3265	5240	11206	6343
SYNJ2	2176	320	683	413	3643	1200
SYNJ2BP	10	5	50	70	15	53
SYNJ2BP-COX16	0	0	0	0	0	0
SYNM	2638	1376	622	2568	5244	1698
SYNPO	13567	1312	761	595	19292	1408
SYNPO2	780	140	155	258	2029	300
SYNPO2L	19	13	70	84	20	76
SYNPR	2044	48	841	763	2811	1061
SYNRG	1002	270	4344	6709	1613	5850
SYP	13708	365	5113	5286	24208	7712
SYPL1	592	362	910	1278	495	965
SYPL2	17	14	0	8	12	1
SYS1	244	85	362	350	191	408
